exp_name,config,checkpoint,dataset_version,corruption_type,corruption_severity,use_attention_fusion,use_self_attention,use_reliability_gate,clean_or_corrupted,mAP,NDS,mean_confidence,confidence_std,detection_count,sample_count,notes,output_dir
bevfusion_mini_clean_baseline,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_lidar-cam_voxel0075_second_secfpn_1xb1-mini_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,none,none,False,False,False,clean,0.5708258149738618,0.577794914770287,0.16590436355813143,0.25884216654625464,12664,81,nuScenes-mini clean baseline; metrics are unstable for rare classes due to small val split.,/workspace/outputs/bevfusion_mini_clean/results/pred_instances_3d
bevfusion_mini_camera_fog_mild,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_fog,mild,False,False,False,corrupted,0.5719296544148502,0.5787449209060542,0.166676381649015,0.25934659184742165,12692,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_camera_fog_mild/results/pred_instances_3d
bevfusion_mini_lidar_dropout_mild,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,lidar_random_dropout,mild,False,False,False,corrupted,0.5671078044645145,0.5736904213012866,0.16281678639891026,0.25626542036982475,12731,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_lidar_dropout_mild/results/pred_instances_3d
bevfusion_mini_camera_lidar_all_mild,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_lidar_all,mild,False,False,False,corrupted,0.15908925130596485,0.2812310791269427,0.04705624919805334,0.11966335172167923,10054,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_camera_lidar_all_mild/results/pred_instances_3d
bevfusion_mini_camera_fog_moderate,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_fog,moderate,False,False,False,corrupted,0.5670468429121751,0.5726039047596754,0.16493787053669987,0.2577093180979177,12692,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_camera_fog_moderate/results/pred_instances_3d
bevfusion_mini_lidar_dropout_moderate,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,lidar_random_dropout,moderate,False,False,False,corrupted,0.5669689046809961,0.5718815508927749,0.15586491125143512,0.25049974632635613,12866,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_lidar_dropout_moderate/results/pred_instances_3d
bevfusion_mini_camera_lidar_all_moderate,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_lidar_all,moderate,False,False,False,corrupted,0.04585364967559265,0.10159187644823722,0.027532857372996298,0.06888023110377811,4423,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_camera_lidar_all_moderate/results/pred_instances_3d
bevfusion_mini_camera_fog_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_fog,severe,False,False,False,corrupted,0.5583020984997489,0.5713722305567319,0.15070162998908693,0.2484642298899701,12907,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_camera_fog_severe/results/pred_instances_3d
bevfusion_mini_lidar_dropout_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,lidar_random_dropout,severe,False,False,False,corrupted,0.5439032602221092,0.5557174830797906,0.1440366894032538,0.2397514888975219,13118,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_lidar_dropout_severe/results/pred_instances_3d
bevfusion_mini_camera_lidar_all_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_lidar_all,severe,False,False,False,corrupted,0.024199664546732797,0.03280493193861622,0.022007515586597932,0.035554697441301325,5335,81,Stage 5 robustness matrix; synthetic corruption applied in memory only.,/workspace/outputs/bevfusion_mini_camera_lidar_all_severe/results/pred_instances_3d
bevfusion_mini_attention_off_clean,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_lidar-cam_voxel0075_second_secfpn_1xb1-mini_attention_off_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,none,none,False,True,True,clean,0.568631132757444,0.5767071616293576,0.1665940230211408,0.25958848914264204,12654,81,Stage 8 clean preservation check (off),/workspace/outputs/bevfusion_mini_attention_off_clean
bevfusion_mini_attention_clean,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_lidar-cam_voxel0075_second_secfpn_1xb1-mini_attention_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,none,none,True,True,True,clean,0.5732186065092647,0.5776910655742281,0.16634076905422548,0.25924997560035284,12671,81,Stage 8 clean preservation check (on),/workspace/outputs/bevfusion_mini_attention_clean
bevfusion_mini_attention_camera_fog_severe,/workspace/mmdetection3d/projects/BEVFusion/configs/bevfusion_mini_attention_corruption_runtime_nus-3d.py,/workspace/checkpoints/bevfusion_lidar-cam_voxel0075_second_secfpn_8xb4-cyclic-20e_nus-3d-5239b1af.pth,v1.0-mini,camera_fog,severe,True,True,True,corrupted,0.5574905530197454,0.5694170682890586,0.15085405673188854,0.24840014915626374,12902,81,Stage 9 pre-finetune attention check; zero-initialized residual branch.,/workspace/outputs/bevfusion_mini_attention_camera_fog_severe/results/pred_instances_3d
