exp_name,corruption_type,corruption_severity,mAP,NDS,delta_mAP,delta_NDS,mean_confidence,detection_count,output_dir
bevfusion_mini_clean_baseline,none,none,0.5708258149738618,0.577794914770287,0.0,0.0,0.16590436355813143,12664,/workspace/outputs/bevfusion_mini_clean/results/pred_instances_3d
bevfusion_mini_camera_fog_mild,camera_fog,mild,0.5719296544148502,0.5787449209060542,0.0011038394409884633,0.000950006135767234,0.166676381649015,12692,/workspace/outputs/bevfusion_mini_camera_fog_mild/results/pred_instances_3d
bevfusion_mini_camera_fog_moderate,camera_fog,moderate,0.5670468429121751,0.5726039047596754,-0.0037789720616866473,-0.005191010010611619,0.16493787053669987,12692,/workspace/outputs/bevfusion_mini_camera_fog_moderate/results/pred_instances_3d
bevfusion_mini_camera_fog_severe,camera_fog,severe,0.5583020984997489,0.5713722305567319,-0.012523716474112878,-0.006422684213555074,0.15070162998908693,12907,/workspace/outputs/bevfusion_mini_camera_fog_severe/results/pred_instances_3d
bevfusion_mini_lidar_dropout_mild,lidar_random_dropout,mild,0.5671078044645145,0.5736904213012866,-0.0037180105093472804,-0.0041044934690004364,0.16281678639891026,12731,/workspace/outputs/bevfusion_mini_lidar_dropout_mild/results/pred_instances_3d
bevfusion_mini_lidar_dropout_moderate,lidar_random_dropout,moderate,0.5669689046809961,0.5718815508927749,-0.003856910292865612,-0.005913363877512068,0.15586491125143512,12866,/workspace/outputs/bevfusion_mini_lidar_dropout_moderate/results/pred_instances_3d
bevfusion_mini_lidar_dropout_severe,lidar_random_dropout,severe,0.5439032602221092,0.5557174830797906,-0.026922554751752537,-0.022077431690496363,0.1440366894032538,13118,/workspace/outputs/bevfusion_mini_lidar_dropout_severe/results/pred_instances_3d
bevfusion_mini_camera_lidar_all_mild,camera_lidar_all,mild,0.15908925130596485,0.2812310791269427,-0.4117365636678969,-0.2965638356433443,0.04705624919805334,10054,/workspace/outputs/bevfusion_mini_camera_lidar_all_mild/results/pred_instances_3d
bevfusion_mini_camera_lidar_all_moderate,camera_lidar_all,moderate,0.04585364967559265,0.10159187644823722,-0.5249721652982691,-0.4762030383220498,0.027532857372996298,4423,/workspace/outputs/bevfusion_mini_camera_lidar_all_moderate/results/pred_instances_3d
bevfusion_mini_camera_lidar_all_severe,camera_lidar_all,severe,0.024199664546732797,0.03280493193861622,-0.5466261504271289,-0.5449899828316708,0.022007515586597932,5335,/workspace/outputs/bevfusion_mini_camera_lidar_all_severe/results/pred_instances_3d
