exp_name,corruption_type,corruption_severity,mAP,NDS,delta_mAP,delta_NDS,mean_camera_reliability,mean_lidar_reliability,mean_degradation_score_avg,mean_degradation_score_any,mean_point_count,mean_occupancy_ratio
bevfusion_mini_clean_baseline,none,none,0.5708258149738618,0.577794914770287,0.0,0.0,0.9544268660106502,0.9088519960507956,0.0683605689692771,0.0928915805503087,243815.9,0.12150527263374486
bevfusion_mini_camera_fog_mild,camera_fog,mild,0.5719296544148502,0.5787449209060542,0.0011038394409884633,0.000950006135767234,0.7780498659758616,0.9081449333794477,0.15690260032234538,0.22599043665710647,243843.35,0.12140132030178327
bevfusion_mini_camera_fog_moderate,camera_fog,moderate,0.5670468429121751,0.5726039047596754,-0.0037789720616866473,-0.005191010010611619,0.5798811398268118,0.9085718389535139,0.25577351060983716,0.42011886017318817,243819.55,0.12189643347050755
bevfusion_mini_camera_fog_severe,camera_fog,severe,0.5583020984997489,0.5713722305567319,-0.012523716474112878,-0.006422684213555074,0.3692964284889901,0.9078308693968866,0.3614363510570616,0.63070357151101,243847.2,0.12151598936899863
bevfusion_mini_lidar_dropout_mild,lidar_random_dropout,mild,0.5671078044645145,0.5736904213012866,-0.0037180105093472804,-0.0041044934690004364,0.9544268660106502,0.8626971796764018,0.09143797715647399,0.13730282032359814,207259.0,0.11943372770919067
bevfusion_mini_lidar_dropout_moderate,lidar_random_dropout,moderate,0.5669689046809961,0.5718815508927749,-0.003856910292865612,-0.005913363877512068,0.9544268660106502,0.7765016615164626,0.1345357362364436,0.2234983384835374,158474.7,0.11565607853223595
bevfusion_mini_lidar_dropout_severe,lidar_random_dropout,severe,0.5439032602221092,0.5557174830797906,-0.026922554751752537,-0.022077431690496363,0.9544268660106502,0.6868186620373601,0.17937723597599486,0.31318133796263997,109758.45,0.10988082990397806
bevfusion_mini_camera_lidar_all_mild,camera_lidar_all,mild,0.15908925130596485,0.2812310791269427,-0.4117365636678969,-0.2965638356433443,0.598604261867143,0.6008984856728631,0.40024862622999696,0.41584601976264673,241810.35,0.24805919924554184
bevfusion_mini_camera_lidar_all_moderate,camera_lidar_all,moderate,0.04585364967559265,0.10159187644823722,-0.5249721652982691,-0.4762030383220498,0.5348447067959867,0.541253277963333,0.46195100762034014,0.4740484531058721,238899.55,0.3765882201646091
bevfusion_mini_camera_lidar_all_severe,camera_lidar_all,severe,0.024199664546732797,0.03280493193861622,-0.5466261504271289,-0.5449899828316708,0.36233641023287816,0.5145695766252378,0.561547006570942,0.6376635897671219,237157.15,0.4935667438271605
